A,B,C,D,E,F,G,H,I,J,K,L,M,N
0,41,0,0,1,7,0,0,7,0,1,0,1,74
9,1,0,0,0,3,2,2,35,5,8,4,55,0
7,0,0,0,4,3,13,13,59,2,1,5,33,4
2,0,3,53,3,0,3,9,16,8,0,0,22,0
7,0,2,6,5,2,8,3,54,2,4,3,18,8
3,0,0,0,14,49,4,0,87,2,24,0,9,16
18,0,0,0,0,0,1,0,6,2,0,0,28,0
1,0,0,1,5,1,1,3,89,1,4,8,11,25
0,3,1,0,3,16,3,2,61,1,5,2,6,8
2,5,0,0,2,23,7,2,40,4,27,4,23,4
10,2,0,0,1,4,2,0,21,8,3,2,65,0
4,2,0,0,8,16,5,6,61,0,9,1,12,5
3,1,0,0,6,1,6,4,50,5,3,7,45,4
3,0,0,0,3,0,3,0,19,2,2,0,14,1
11,1,0,0,7,2,7,1,79,6,6,2,26,14
7,0,20,23,1,1,1,1,11,18,2,1,29,2
26,0,0,0,0,0,2,0,18,7,0,1,85,1
0,0,49,26,0,0,0,0,0,2,0,0,3,0
0,11,0,0,7,13,7,6,53,0,6,2,16,32
7,1,0,0,6,7,10,1,61,3,8,1,26,8
3,1,0,0,2,1,8,2,60,4,3,2,47,2
5,7,1,1,0,2,2,7,12,10,1,1,19,6
8,0,0,0,1,0,1,0,22,7,2,4,58,2
0,13,0,0,3,11,3,12,46,1,3,0,2,36
0,105,0,0,0,1,0,0,3,0,0,0,1,35
0,95,0,0,4,4,0,0,9,0,2,0,0,59
0,0,62,23,0,0,0,0,0,59,0,0,5,2
9,1,0,0,6,1,12,1,61,0,1,6,40,3
1,11,0,0,5,8,7,0,104,0,7,1,4,9
25,0,0,0,2,0,4,0,25,9,3,5,83,1
5,8,0,0,9,10,3,3,81,0,5,4,17,9
0,75,0,0,1,5,0,0,12,0,1,1,0,25
1,1,1,0,2,1,3,1,55,1,0,0,9,21
10,1,1,2,3,8,4,15,38,8,2,3,9,2
1,0,44,73,0,0,0,0,1,8,1,0,1,0
1,0,0,0,13,29,0,0,33,0,53,0,4,2
6,2,0,0,4,5,4,9,82,0,2,6,11,14
0,0,111,30,0,0,0,0,0,3,0,0,1,6
2,1,0,0,4,2,3,11,39,0,3,2,28,2
10,1,0,0,2,2,1,1,14,13,1,3,72,0
11,1,0,0,5,9,6,5,33,8,12,8,68,1
4,4,0,1,3,2,4,22,14,3,4,0,13,2
12,0,2,1,1,1,2,0,6,18,3,2,83,0
2,2,0,0,14,15,8,1,65,0,12,4,25,3
0,0,15,75,0,0,2,0,0,16,0,0,14,0
21,0,0,0,5,2,3,0,22,5,6,5,54,2
1,3,1,0,7,3,4,20,41,1,2,1,30,11
1,9,0,0,1,3,2,20,30,0,3,0,20,6
2,1,0,0,1,2,8,12,80,3,5,0,46,9
3,5,0,0,10,2,3,9,54,3,1,1,19,21
3,5,0,0,6,3,11,12,33,0,0,2,45,2
7,0,0,0,6,1,10,3,39,3,3,2,59,7
4,4,0,1,8,3,2,6,22,8,5,2,45,4
2,3,0,0,5,3,8,2,44,0,1,3,17,26
3,2,0,0,8,4,1,3,69,0,1,6,8,13
7,2,0,0,2,3,3,3,81,2,5,8,14,5
3,0,0,0,4,4,4,9,48,5,2,6,39,0
4,7,0,0,7,17,10,12,43,2,0,1,24,16
4,0,0,0,3,53,3,0,41,0,55,8,6,5
3,14,1,0,5,41,1,2,39,1,11,1,12,43
