A,B,C,D,E,F,G,H,I,J,K,L,M,N
9,2,0,1,8,4,4,8,26,8,7,2,53,1
5,0,0,1,0,0,2,6,22,8,1,2,56,0
2,0,0,0,1,2,5,12,41,4,1,2,12,3
7,1,0,0,5,2,14,12,42,2,7,0,34,6
10,2,0,0,2,7,0,1,49,7,11,2,72,2
3,1,0,0,7,20,12,5,87,0,9,3,22,15
2,0,55,69,0,0,0,0,1,8,1,0,3,0
1,32,0,0,4,18,3,0,25,1,6,4,16,39
4,0,0,1,3,2,3,2,25,5,7,7,66,0
11,0,0,0,6,3,2,0,23,5,3,1,107,2
10,1,0,0,3,0,4,0,76,5,5,9,52,8
1,0,8,38,0,0,2,0,2,5,0,0,3,0
2,0,0,0,8,4,5,26,54,1,2,5,33,7
13,0,0,0,4,1,4,0,26,4,4,5,81,1
12,0,0,0,9,1,12,10,52,6,3,6,67,2
3,2,0,1,3,31,1,2,30,6,10,1,10,7
2,40,0,0,3,9,2,0,28,2,7,2,11,59
11,1,0,0,4,1,5,2,56,2,4,6,32,4
0,0,2,56,0,0,0,0,0,1,0,0,0,0
14,0,0,0,4,0,1,0,9,4,1,5,35,0
2,2,0,0,3,0,8,12,72,4,1,8,42,2
10,0,0,2,1,0,5,0,26,1,4,2,59,1
5,0,0,0,1,6,15,9,75,0,7,0,17,16
6,1,0,1,6,1,7,5,47,1,4,4,82,4
2,1,1,4,12,1,8,56,43,3,3,0,14,0
13,0,0,0,1,3,6,3,35,7,8,4,76,4
6,2,0,0,1,1,10,9,50,1,10,2,22,16
18,0,0,0,5,8,3,1,42,5,6,3,80,5
19,0,0,0,6,0,4,0,23,10,3,2,113,0
13,1,0,2,2,1,6,0,50,14,3,4,44,4
10,0,0,0,4,0,11,1,67,1,4,4,53,1
1,0,0,0,4,0,3,30,41,1,2,2,17,2
0,131,0,0,0,0,0,0,0,0,0,0,0,11
2,2,0,0,5,7,4,10,54,0,5,1,15,19
8,0,0,0,4,1,8,8,40,3,2,3,40,9
3,0,0,0,4,3,12,5,43,1,2,0,14,12
14,0,0,0,24,9,14,2,79,7,16,2,126,5
4,5,0,0,5,0,2,1,61,1,3,2,19,6
1,10,0,0,7,15,9,5,52,0,4,1,23,26
6,1,0,0,5,7,11,20,61,0,2,3,4,6
7,0,0,0,2,1,5,6,32,7,4,1,62,2
0,0,1,1,3,4,2,1,56,0,3,5,13,9
9,1,0,2,3,2,4,4,16,17,11,4,78,0
3,1,0,0,6,1,1,10,49,2,2,2,12,7
12,0,0,0,5,0,6,1,38,9,4,5,54,1
5,1,0,0,6,4,10,3,45,0,5,4,28,22
27,0,1,0,2,0,2,0,25,19,3,2,118,1
4,3,0,1,3,6,1,6,34,0,1,1,15,23
3,0,0,0,6,1,5,21,63,2,0,3,29,2
17,1,0,0,5,8,8,2,30,9,12,4,57,1
5,2,0,0,11,4,4,2,70,1,0,2,38,8
4,0,0,0,9,1,10,3,34,0,6,5,86,2
1,0,15,24,0,0,0,0,4,4,0,0,33,9
6,0,0,0,6,4,15,14,31,2,5,2,31,5
1,0,0,6,9,0,8,6,67,5,0,0,17,12
3,0,0,0,2,3,2,0,63,0,0,0,9,20
0,107,0,0,0,1,0,0,5,0,1,0,0,51
0,0,34,66,0,0,1,0,0,7,0,1,8,0
0,0,0,0,10,34,0,0,30,0,43,1,2,13
17,0,0,2,8,0,0,3,30,13,5,3,54,0
4,0,0,1,2,2,7,24,38,1,2,2,25,0
7,3,0,1,0,2,6,17,25,0,2,3,12,4
0,3,0,0,5,16,8,1,66,1,4,1,17,11
4,0,0,0,7,7,5,10,40,2,6,6,41,4
3,6,0,0,5,18,2,5,26,4,6,2,37,4
4,0,1,0,4,14,4,5,36,2,6,1,20,5
19,0,1,0,8,0,3,0,21,7,1,2,87,4
2,39,0,0,1,6,5,5,29,0,2,4,7,38
0,32,0,1,2,2,5,25,18,1,3,1,13,3
8,0,0,0,5,1,3,4,26,16,3,7,38,0
